municipality_code,municipality_name,year,population_total_on_1_january,denominator_status
069,Majšperk,2022,4026,valid
069,Majšperk,2023,4002,valid
069,Majšperk,2024,4011,valid
070,Maribor,2016,111832,valid
070,Maribor,2017,111079,valid
070,Maribor,2018,110871,valid
070,Maribor,2019,112065,valid
070,Maribor,2020,112682,valid
070,Maribor,2021,113778,valid
070,Maribor,2022,113004,valid
070,Maribor,2023,113000,valid
070,Maribor,2024,113747,valid
071,Medvode,2016,16032,valid
071,Medvode,2017,16236,valid
071,Medvode,2018,16362,valid
071,Medvode,2019,16573,valid
071,Medvode,2020,16829,valid
071,Medvode,2021,16811,valid
071,Medvode,2022,16792,valid
071,Medvode,2023,17076,valid
071,Medvode,2024,17213,valid
072,Mengeš,2016,7708,valid
072,Mengeš,2017,7752,valid
072,Mengeš,2018,7917,valid
072,Mengeš,2019,8117,valid
072,Mengeš,2020,8279,valid
072,Mengeš,2021,8411,valid
072,Mengeš,2022,8487,valid
072,Mengeš,2023,8592,valid
072,Mengeš,2024,8654,valid
073,Metlika,2016,8382,valid
073,Metlika,2017,8325,valid
073,Metlika,2018,8339,valid
073,Metlika,2019,8375,valid
073,Metlika,2020,8470,valid
073,Metlika,2021,8480,valid
073,Metlika,2022,8452,valid
073,Metlika,2023,8465,valid
073,Metlika,2024,8439,valid
074,Mežica,2016,3599,valid
074,Mežica,2017,3573,valid
074,Mežica,2018,3541,valid
074,Mežica,2019,3565,valid
074,Mežica,2020,3595,valid
074,Mežica,2021,3598,valid
074,Mežica,2022,3567,valid
074,Mežica,2023,3564,valid
074,Mežica,2024,3554,valid
075,Miren-Kostanjevica,2016,4825,valid
075,Miren-Kostanjevica,2017,4838,valid
075,Miren-Kostanjevica,2018,4858,valid
075,Miren-Kostanjevica,2019,4949,valid
075,Miren-Kostanjevica,2020,4977,valid
075,Miren-Kostanjevica,2021,5029,valid
075,Miren-Kostanjevica,2022,5072,valid
075,Miren-Kostanjevica,2023,5100,valid
075,Miren-Kostanjevica,2024,5058,valid
076,Mislinja,2016,4577,valid
076,Mislinja,2017,4561,valid
076,Mislinja,2018,4557,valid
076,Mislinja,2019,4544,valid
076,Mislinja,2020,4566,valid
076,Mislinja,2021,4520,valid
076,Mislinja,2022,4532,valid
076,Mislinja,2023,4535,valid
076,Mislinja,2024,4571,valid
077,Moravče,2016,5271,valid
077,Moravče,2017,5309,valid
077,Moravče,2018,5328,valid
077,Moravče,2019,5414,valid
077,Moravče,2020,5449,valid
077,Moravče,2021,5469,valid
077,Moravče,2022,5522,valid
077,Moravče,2023,5569,valid
077,Moravče,2024,5651,valid
078,Moravske Toplice,2016,5847,valid
078,Moravske Toplice,2017,5831,valid
078,Moravske Toplice,2018,5826,valid
078,Moravske Toplice,2019,5812,valid
078,Moravske Toplice,2020,5837,valid
078,Moravske Toplice,2021,5958,valid
078,Moravske Toplice,2022,5990,valid
078,Moravske Toplice,2023,5971,valid
078,Moravske Toplice,2024,5964,valid
079,Mozirje,2016,4056,valid
079,Mozirje,2017,4038,valid
079,Mozirje,2018,4092,valid
079,Mozirje,2019,4106,valid
079,Mozirje,2020,4150,valid
079,Mozirje,2021,4244,valid
079,Mozirje,2022,4401,valid
079,Mozirje,2023,4489,valid
079,Mozirje,2024,4532,valid
080,Murska Sobota,2016,18924,valid
080,Murska Sobota,2017,18870,valid
080,Murska Sobota,2018,18734,valid
080,Murska Sobota,2019,18730,valid
080,Murska Sobota,2020,18758,valid
080,Murska Sobota,2021,18622,valid
080,Murska Sobota,2022,18543,valid
080,Murska Sobota,2023,18651,valid
080,Murska Sobota,2024,18577,valid
081,Muta,2016,3364,valid
081,Muta,2017,3389,valid
081,Muta,2018,3382,valid
081,Muta,2019,3383,valid
081,Muta,2020,3414,valid
081,Muta,2021,3417,valid
081,Muta,2022,3402,valid
081,Muta,2023,3394,valid
081,Muta,2024,3358,valid
082,Naklo,2016,5283,valid
082,Naklo,2017,5350,valid
082,Naklo,2018,5377,valid
082,Naklo,2019,5422,valid
082,Naklo,2020,5384,valid
082,Naklo,2021,5431,valid
082,Naklo,2022,5380,valid
082,Naklo,2023,5495,valid
082,Naklo,2024,5471,valid
