municipality_code,grid_cell_index,latitude,longitude,intersection_area_m2,normalized_intersection_weight
011,225,46.3,15.4,235357.544980694,0.00247956560117041
011,257,46.2,15.2,16696070.3534795,0.175898341081883
011,258,46.2,15.3,31508858.7862332,0.331955716078227
011,259,46.2,15.4,4578.36336904311,4.82344949700642e-05
012,215,46.3,14.4,1698236.60203939,0.0217727326871181
012,216,46.3,14.5,37633644.9521045,0.482493011044569
012,217,46.3,14.6,3468142.47714633,0.044464321982618
012,249,46.2,14.4,1714860.26878228,0.0219858612063351
012,250,46.2,14.5,32577286.6453534,0.417666509454052
012,251,46.2,14.6,906150.461613526,0.0116175636253083
013,350,45.9,14.3,18909373.4210123,0.0784755593476089
013,351,45.9,14.4,15299035.1174076,0.0634923385130864
013,352,45.9,14.5,10432907.0645605,0.0432974800002217
013,384,45.8,14.3,63253019.4537151,0.262505582365814
013,385,45.8,14.4,85516692.6201904,0.354901780059495
013,386,45.8,14.5,17544141.2944365,0.0728097261977218
013,418,45.7,14.3,1910221.76517447,0.00792758798308284
013,419,45.7,14.4,26541201.9895784,0.110148317742542
013,420,45.7,14.5,1552166.64068384,0.00644162779042746
014,244,46.2,13.9,8906318.59953955,0.0676283084905559
014,245,46.2,14,20991072.0835959,0.15939141212513
014,246,46.2,14.1,3319340.97361974,0.025204736709161
014,278,46.1,13.9,38630578.4176892,0.293333395297038
014,279,46.1,14,58085144.6793076,0.441057664756555
014,280,46.1,14.1,1762671.12365015,0.0133844826215592
015,131,46.6,16.2,567717.241438751,0.0168715122925913
015,132,46.6,16.3,19603262.760692,0.582572915706657
015,165,46.5,16.2,41410.7374281561,0.00123065095538372
015,166,46.5,16.3,13437067.0916782,0.399324921045368
016,150,46.5,14.7,21779876.5968145,0.13981203732308
016,151,46.5,14.8,45876832.2231811,0.294498150645637
016,152,46.5,14.9,39004942.1021831,0.250385276368949
016,153,46.5,15,3056962.99964649,0.0196236293214058
016,184,46.4,14.7,3089430.68506732,0.0198320498432427
016,185,46.4,14.8,22045103.1895538,0.141514612180118
016,186,46.4,14.9,20246928.6467768,0.129971551081006
016,187,46.4,15,679619.023807519,0.00436269323656082
017,460,45.6,15.1,36438246.4073182,0.107244770119968
017,461,45.6,15.2,53768775.0686832,0.158251850470913
017,462,45.6,15.3,12839750.6658472,0.0377898566567665
017,494,45.5,15.1,60775909.6076249,0.178875195634898
017,495,45.5,15.2,86551755.5725999,0.254738469741477
017,496,45.5,15.3,65332638.6218384,0.192286525866481
017,497,45.5,15.4,5128870.41213821,0.0150952524492067
017,528,45.4,15.1,2004958.45911877,0.00590097851155355
017,529,45.4,15.2,16926212.6541221,0.0498171005487366
018,161,46.5,15.8,5167644.96385154,0.150371759006656
018,162,46.5,15.9,29181111.0060821,0.849132442814454
018,196,46.4,15.9,17038.4983134385,0.00049579817888923
019,381,45.8,14,7910177.02595832,0.0545145711227194
019,382,45.8,14.1,183117.707847736,0.00126199240238689
019,414,45.7,13.9,451245.50574263,0.00310984888655306
019,415,45.7,14,73928610.7446662,0.509493845108439
