municipality_code,week_start,week_end,weather_status,source_hour_count,minimum_present_hours,t2m_mean_c,d2m_mean_c,tp_sum_mm,stl1_mean_c,stl2_mean_c,swvl1_mean_m3_m3,swvl2_mean_m3_m3
024,2016-04-04,2016-04-10,complete,168,168,13.9035144118808,6.92867481989979,11.842423323996,13.6296525921225,12.7992208746093,0.316535587756251,0.320059735076001
025,2016-04-04,2016-04-10,complete,168,168,11.0615275790522,6.62919268849292,14.7717681365346,10.4714324815665,9.62413598709195,0.342914523385935,0.34188774374647
026,2016-04-04,2016-04-10,complete,168,168,13.8961178214341,7.33862457225198,13.2707149169919,13.4474358626393,12.5811606954302,0.318949437640833,0.323176876588402
027,2016-04-04,2016-04-10,complete,168,168,10.3867018609343,6.75800326162396,17.5840819308067,10.0511692925306,9.38920402823532,0.347039570679361,0.343313060804319
028,2016-04-04,2016-04-10,complete,168,168,13.8659304040112,6.95203443961635,11.6377057090938,13.6601416074969,12.8103700723429,0.321276174595706,0.323269194449626
029,2016-04-04,2016-04-10,complete,168,168,13.8601575949261,6.9411554476581,13.5558964846802,13.5511709627996,12.7178873777497,0.319553997638827,0.322811550491578
030,2016-04-04,2016-04-10,complete,168,168,10.1214966959094,5.97800510207656,15.2915176658685,10.137215730181,9.39702138957335,0.336451185835333,0.333697326379957
031,2016-04-04,2016-04-10,complete,168,168,13.4966725669039,6.53604120235046,13.4867749637871,13.2728334801066,12.5142041372002,0.323021950940577,0.328488090348291
032,2016-04-04,2016-04-10,complete,168,168,11.824557530427,7.39335039537283,14.5993735035365,11.4421135868539,10.8108340792723,0.327255781286704,0.324246753943414
033,2016-04-04,2016-04-10,complete,168,168,13.4363284167946,6.52066251567279,13.3125299246231,13.2294190725831,12.4859979629961,0.330889000258888,0.33608829996992
034,2016-04-04,2016-04-10,complete,168,168,11.8287039319006,6.87363514595537,11.669667929174,11.4928631489162,10.7716267175248,0.324194469603805,0.323134738203934
035,2016-04-04,2016-04-10,complete,168,168,11.964421458798,7.35292286752122,12.0555281579814,11.7397109524684,11.1622075804613,0.343287311250977,0.343558546414618
036,2016-04-04,2016-04-10,complete,168,168,10.4493654192657,6.89007182659624,16.4707501573215,9.78658482566033,9.21227352442988,0.341848243846159,0.339202476405281
037,2016-04-04,2016-04-10,complete,168,168,11.4952422460398,7.34596113863991,14.8708416368105,11.0637459394561,10.4518445399985,0.32614833613635,0.324272652415892
038,2016-04-04,2016-04-10,complete,168,168,10.9508171433067,6.45423930168882,9.92932104509069,10.4865403843475,9.91463996467405,0.347912111999297,0.349751442388831
039,2016-04-04,2016-04-10,complete,168,168,12.2055349488949,7.51995583579723,13.6104376553732,11.77124933286,11.1233601255041,0.328103482024717,0.324654238369641
040,2016-04-04,2016-04-10,complete,168,168,12.7981840587797,9.22904939197357,15.8662627867443,13.1413498651413,12.6323820568266,0.230662663777669,0.230000722975958
041,2016-04-04,2016-04-10,complete,168,168,9.19466982875722,5.41779670955863,21.5867175720834,8.60519645984007,7.74189861614813,0.370505842096111,0.369194124909267
042,2016-04-04,2016-04-10,complete,168,168,13.9655552645267,6.90865734011961,12.0975395004595,13.6102899332971,12.7991040801749,0.310402398435544,0.315998426990582
043,2016-04-04,2016-04-10,complete,168,168,10.6330712824411,6.51569558053071,16.0679419563963,10.4241361958188,9.69743646200529,0.337414981100148,0.333822960986195
044,2016-04-04,2016-04-10,complete,168,168,11.7619444061818,8.12601223209847,19.1669687219316,11.0530980590375,10.4323858464349,0.362028669889751,0.359903564792932
045,2016-04-04,2016-04-10,complete,168,168,13.8669395219769,7.41164261298023,12.2997504500631,13.4325723876062,12.573208957859,0.322835847852938,0.324680761918168
046,2016-04-04,2016-04-10,complete,168,168,9.92707805653255,6.3608145894216,21.9099109238992,9.36247177745493,8.65597469631994,0.366684817366517,0.364997032858456
047,2016-04-04,2016-04-10,complete,168,168,13.9675595238095,6.85435166131883,11.6575809572055,13.7707560221354,13.0351559593564,0.334083102998279,0.338477634248279
048,2016-04-04,2016-04-10,complete,168,168,11.4106030477616,7.08341688434417,12.1238798279582,10.8479338140048,10.2382126319203,0.329978619227019,0.330364103332063
049,2016-04-04,2016-04-10,complete,168,168,12.7599555384071,8.97898685923333,16.2990477182208,12.627174544776,12.0614253504082,0.342074492163338,0.339207844492238
050,2016-04-04,2016-04-10,complete,168,168,12.658425151262,8.28428871745053,13.8069541700384,12.6577762785361,12.0913062774074,0.30861551966952,0.308580692970677
051,2016-04-04,2016-04-10,complete,168,168,13.2469317315394,7.13746827344616,9.65779385384617,12.7949478923737,11.9774217752191,0.310089212903939,0.31398989681131
052,2016-04-04,2016-04-10,complete,168,168,11.1340115797906,7.17154970794223,17.9750654775211,10.4788338776405,9.7279843836907,0.344080074029092,0.340772086179424
053,2016-04-04,2016-04-10,complete,168,168,7.43050525546602,4.31095728708489,25.4724233812798,4.57304651739494,3.6251496134654,0.410097995539309,0.411135041284958
054,2016-04-04,2016-04-10,complete,168,168,13.3259719712779,7.51287188614059,9.51503606024663,12.8890100277753,12.1228139978298,0.317623905146201,0.318262888730182
055,2016-04-04,2016-04-10,complete,168,168,13.2330443830027,7.10037554157388,16.1254626549832,12.5657557757368,11.7069858633191,0.325683714310526,0.325931445783836
