scenario_family,year,air_temperature_c_mean_climate,near_surface_specific_humidity_g_kg_climate,precipitation_sum_mm_proxy_climate,soil_moisture_upper_portion_kg_m2_climate,air_temperature_c_mean_climate_anomaly_vs_2016_2025,near_surface_specific_humidity_g_kg_climate_anomaly_vs_2016_2025,precipitation_sum_mm_proxy_climate_anomaly_vs_2016_2025,soil_moisture_upper_portion_kg_m2_climate_anomaly_vs_2016_2025,lyme_cases,kme_cases,tick_borne_cases_total,lyme_cases_per_100k,kme_cases_per_100k,tick_borne_cases_total_per_100k,lyme_cases_lag_1y,lyme_cases_lag_2y,lyme_cases_lag_3y,lyme_cases_rolling_3y_mean,kme_cases_lag_1y,kme_cases_lag_2y,kme_cases_lag_3y,kme_cases_rolling_3y_mean,tick_borne_cases_total_lag_1y,tick_borne_cases_total_lag_2y,tick_borne_cases_total_lag_3y,tick_borne_cases_total_rolling_3y_mean,lyme_cases_per_100k_lag_1y,lyme_cases_per_100k_lag_2y,lyme_cases_per_100k_lag_3y,lyme_cases_per_100k_rolling_3y_mean,kme_cases_per_100k_lag_1y,kme_cases_per_100k_lag_2y,kme_cases_per_100k_lag_3y,kme_cases_per_100k_rolling_3y_mean,tick_borne_cases_total_per_100k_lag_1y,tick_borne_cases_total_per_100k_lag_2y,tick_borne_cases_total_per_100k_lag_3y,tick_borne_cases_total_per_100k_rolling_3y_mean,table_role,target_available,projection_horizon_years_from_2025
high_emissions,2061,11.695662279923758,6.946135799090068,1304.3937821388245,26.13321590423584,1.4611076871554065,0.6724011878172558,126.4326423048974,-1.6420609315236376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,36
high_emissions,2062,12.128975301980972,7.019317050774892,1162.8911352157593,26.468348662058517,1.8944207092126213,0.7455824395020798,-15.070004618167786,-1.306928173700964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,37
high_emissions,2063,12.301537156105042,6.981031656265259,1202.3514025211334,26.659584681193035,2.0669825633366905,0.7072970449924467,24.39026268720636,-1.1156921545664424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,38
high_emissions,2064,11.950723826885223,7.069672346115112,1335.317059755325,26.820268472035725,1.7161692341168724,0.7959377348423002,157.35591992139825,-0.9550083637237528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,39
high_emissions,2065,11.85712226231893,6.896242340405782,1218.939250946045,27.037182331085205,1.6225676695505786,0.6225077291329697,40.97811111211786,-0.7380945046742724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,40
high_emissions,2066,11.991292705138523,6.953749159971873,1179.9989631175995,26.51707871754964,1.756738112370174,0.6800145486990612,2.037823283672424,-1.2581981182098367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,41
high_emissions,2067,12.105333944161734,7.051109751065572,1249.8726997375488,26.29627052942912,1.8707793513933824,0.7773751397927597,71.91155990362176,-1.4790063063303585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,42
high_emissions,2068,12.449644188086191,7.106078426043193,1221.9090070724487,26.50889269510905,2.21508959531784,0.8323438147703808,43.94786723852167,-1.2663841406504268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,43
high_emissions,2069,12.267510950565338,7.0727620124816895,1228.7036910057068,25.94868055979411,2.032956357796987,0.7990274012088774,50.74255117177972,-1.826596275965368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,44
high_emissions,2070,12.285154720147451,6.9959357380867,1230.3031363487244,26.34102312723796,2.0506001273791004,0.7222011268138884,52.3419965147973,-1.4342537085215206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scenario_projection,False,45
