fold_id,challenger_id,feature,feature_importance
fold_05_validate_2021,catboost_poisson_s3_weather_offset,z_swvl2_mean_m3_m3_previous_4w_mean,0.218800263239023
fold_06_validate_2022,catboost_poisson_s3_weather_offset,municipality_code,5.6645259349437
fold_06_validate_2022,catboost_poisson_s3_weather_offset,seasonal_sin_annual,11.4070817121736
fold_06_validate_2022,catboost_poisson_s3_weather_offset,seasonal_cos_annual,42.9382703951818
fold_06_validate_2022,catboost_poisson_s3_weather_offset,past_4w_lyme_incidence_per_100000,23.4343393807309
fold_06_validate_2022,catboost_poisson_s3_weather_offset,z_t2m_mean_c_lag_1w,0.606498802096161
fold_06_validate_2022,catboost_poisson_s3_weather_offset,z_t2m_mean_c_lag_2w,0.622309592574327
fold_06_validate_2022,catboost_poisson_s3_weather_offset,z_t2m_mean_c_previous_4w_mean,2.84045347380258
fold_06_validate_2022,catboost_poisson_s3_weather_offset,z_d2m_mean_c_lag_1w,0.1784908850935
fold_06_validate_2022,catboost_poisson_s3_weather_offset,z_d2m_mean_c_lag_2w,0.108519079633234
fold_06_validate_2022,catboost_poisson_s3_weather_offset,z_d2m_mean_c_previous_4w_mean,0.344363627468389
fold_06_validate_2022,catboost_poisson_s3_weather_offset,z_tp_sum_mm_lag_1w,0.214138807112889
fold_06_validate_2022,catboost_poisson_s3_weather_offset,z_tp_sum_mm_lag_2w,0.0225183103415005
fold_06_validate_2022,catboost_poisson_s3_weather_offset,z_tp_sum_mm_previous_4w_sum,0.410811577624815
fold_06_validate_2022,catboost_poisson_s3_weather_offset,z_stl1_mean_c_lag_1w,1.98652038143912
fold_06_validate_2022,catboost_poisson_s3_weather_offset,z_stl1_mean_c_lag_2w,0.335986911653034
fold_06_validate_2022,catboost_poisson_s3_weather_offset,z_stl1_mean_c_previous_4w_mean,1.50330735801271
fold_06_validate_2022,catboost_poisson_s3_weather_offset,z_stl2_mean_c_lag_1w,1.40832868188563
fold_06_validate_2022,catboost_poisson_s3_weather_offset,z_stl2_mean_c_lag_2w,0.163221331218554
fold_06_validate_2022,catboost_poisson_s3_weather_offset,z_stl2_mean_c_previous_4w_mean,4.64752101255951
fold_06_validate_2022,catboost_poisson_s3_weather_offset,z_swvl1_mean_m3_m3_lag_1w,0.168298189866038
