municipality_code,week_start,week_end,weather_status,source_hour_count,minimum_present_hours,t2m_mean_c,d2m_mean_c,tp_sum_mm,stl1_mean_c,stl2_mean_c,swvl1_mean_m3_m3,swvl2_mean_m3_m3
168,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
169,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
170,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
171,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
172,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
173,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
174,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
175,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
176,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
177,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
178,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
179,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
180,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
181,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
182,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
183,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
184,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
185,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
186,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
187,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
188,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
189,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
190,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
191,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
192,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
193,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
194,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
195,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
196,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
197,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
198,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
199,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
200,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
201,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
202,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
203,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
204,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
205,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
206,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
207,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
208,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
209,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
210,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
211,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
212,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
213,2024-11-25,2024-12-01,incomplete_source_week,24,23,,,,,,,
001,2024-12-02,2024-12-08,complete,168,168,2.02150661493643,-0.779485727143379,5.54059900084919,2.77023232943766,3.8570869412781,0.36096189802437,0.365668982049836
002,2024-12-02,2024-12-08,complete,168,168,1.9082370195217,0.375415953839364,3.57841835334596,2.45374883825311,3.66732690673171,0.362121619246203,0.366131182594308
003,2024-12-02,2024-12-08,complete,168,168,-0.722706638555751,-2.86920414732266,6.24803939555369,-0.0884005518595525,0.91986200185929,0.364690858734312,0.365845940852992
004,2024-12-02,2024-12-08,complete,168,168,-1.13159043146044,-3.64239202730829,6.15463586562448,-0.218759162370122,0.785376262637115,0.359932458519835,0.361358153179579
005,2024-12-02,2024-12-08,complete,168,168,1.25041365042031,-0.49725079033662,6.71305052540687,2.11308245113321,3.27658777149785,0.372528186251291,0.378581954831393
006,2024-12-02,2024-12-08,complete,168,168,-1.06214714452909,-4.22300184010305,6.88213960324282,-0.311392211836983,0.670057804681579,0.356030238673338,0.355313295575351
007,2024-12-02,2024-12-08,complete,168,168,3.75627078996674,-0.225260527340263,5.45705234229976,4.04119758296647,5.10538119177078,0.368914994325748,0.3711556804365
008,2024-12-02,2024-12-08,complete,168,168,1.27777894119399,-0.457813687236708,6.77187279105509,2.06939820090523,3.22603053264737,0.372598890932069,0.378591063838461
009,2024-12-02,2024-12-08,complete,168,168,2.47530294019421,0.59915113077148,7.90985898519811,3.29764778687162,4.4826140729727,0.377846456079522,0.383308467121341
010,2024-12-02,2024-12-08,complete,168,168,1.44046713661774,0.0050958791217935,3.93371665011272,1.88114900073453,3.11904392839977,0.364858951154746,0.368732092448124
011,2024-12-02,2024-12-08,complete,168,168,1.39312046426695,-0.345422047341722,6.21375518316886,1.67160677497693,2.84052060228246,0.376105332378627,0.381430783535313
012,2024-12-02,2024-12-08,complete,168,168,0.475494554594726,-1.47740742652464,5.55972615231207,0.707612433962731,1.77191562373178,0.372391546962497,0.376797007391979
013,2024-12-02,2024-12-08,complete,168,168,0.88581330849319,-0.976098880947695,6.78782453055737,1.7997330360472,2.97677504719831,0.371697876904366,0.378081420942211
014,2024-12-02,2024-12-08,complete,168,168,0.504789450303458,-1.91033167832428,5.45430275788617,1.04936324300265,2.08551738170943,0.361699211980599,0.364526550247312
015,2024-12-02,2024-12-08,complete,168,168,2.10347562855409,0.495895032586902,3.5962588025245,2.79293226990066,3.99181066845616,0.365393646140628,0.370182135443864
016,2024-12-02,2024-12-08,complete,168,168,-0.788640117491238,-2.61947960447459,6.75978591271178,0.0765431568648847,1.04641012234841,0.368275347056856,0.370517366540514
017,2024-12-02,2024-12-08,complete,168,168,2.10173331089974,0.643397372128506,15.6538498702537,3.19673632040052,4.36818681514896,0.385249392011697,0.387244082866237
018,2024-12-02,2024-12-08,complete,168,168,1.6674173170853,0.175678497532614,5.7513851241535,2.05755621554175,3.28761221699948,0.371162897161209,0.375796227255522
019,2024-12-02,2024-12-08,complete,168,168,2.46024464309333,-0.573186031761404,5.40397908437107,3.26505165034032,4.42488240581163,0.369099040081143,0.375997370164926
020,2024-12-02,2024-12-08,complete,168,168,1.16776388738172,-0.395239193743379,10.7196199418727,2.10643778646906,3.29109137484853,0.377226267439127,0.380963485351207
021,2024-12-02,2024-12-08,complete,168,168,1.01030483600409,-0.835680816600439,5.98002316240652,1.34876095309429,2.4703229015453,0.372239501275317,0.377971756529595
022,2024-12-02,2024-12-08,complete,168,168,1.25047624709769,-0.513237709072307,6.49735402069368,1.57198970043615,2.74305553562167,0.374033987170563,0.379649062138762
023,2024-12-02,2024-12-08,complete,168,168,1.17711860220852,-0.623793236037422,6.09065636400657,1.46334746368326,2.61844423552473,0.374166341018629,0.379640753510171
024,2024-12-02,2024-12-08,complete,168,168,1.8682013613427,0.335766571719949,4.95270443239985,2.46743244670014,3.68314126541433,0.369182572095036,0.374105382871363
025,2024-12-02,2024-12-08,complete,168,168,-0.302719800171439,-2.03496058152563,7.14544286025721,-0.0871014031653488,0.897220797326306,0.369010992453535,0.370488160804518
026,2024-12-02,2024-12-08,complete,168,168,1.50765973427817,0.034367428600819,6.46047561456604,1.86004373076997,3.07055425367496,0.373226510962111,0.377794168435476
